id	name	album	popularity	danceability	energy	loudness	speechiness	acousticness	instrumentalness	liveness	valence	tempo	duration_ms
6j72nKKRKnGTq7HBMyuvfB	I Was Born To Love You	Made In Heaven	43	0.449	0.908	-6.131	0.0853	0.0833	0	0.0971	0.495	139.083	289813
1pHVfiNHMMZYquR35fTZdM	I'm Going Slightly Mad	Innuendo	49	0.639	0.83	-6.322	0.0544	0.583	1.38e-5	0.189	0.299	115.64	262933
253ewjP2R1LjKqA70mGdnk	I'm In Love With My Car	A Night At The Opera	52	0.292	0.803	-8.541	0.065	0.0113	5.63e-6	0.321	0.41	143.856	184893
5HJiNvg6s7ovq5kPrztHKp	If You Can't Beat Them	Jazz	40	0.427	0.774	-5.434	0.0681	0.0021	0.00607	0.358	0.665	140.444	255187
06UXtRLTF6kdMSM3uaVCCU	In Only Seven Days	Jazz	40	0.517	0.469	-7.148	0.0306	0.427	1.96e-6	0.128	0.409	115.076	149253
18a6Hmy684ySE4RX3evAqJ	In The Lap Of The Gods	Sheer Heart Attack	33	0.326	0.551	-6.43	0.0323	0.551	2.94e-4	0.348	0.23	80.539	202613
4cw0I3t6oxDCmnI1XGL0A2	In The Lap Of The Gods... Revisited	Sheer Heart Attack	33	0.41	0.575	-8.609	0.0368	0.408	0	0.291	0.503	132.074	226813
0BzhS74ByIVlyz8BedHaYi	Innuendo	Innuendo	59	0.346	0.728	-5.747	0.0451	0.187	0.00379	0.344	0.174	74.939	393027
78BjB6GC1JPt4LgA8O0sys	Is This The World We Created...?	The Works	45	0.394	0.209	-12.611	0.0373	0.826	0	0.121	0.167	79.286	134293
23OksreAzaswJBN5APV58U	It's A Beautiful Day	Made In Heaven	42	0.121	0.13	-13.406	0.0374	0.673	6.73e-5	0.0844	0.0362	48.223	154067
0xvJ2Ucr9Vdpkm1anaPwDg	It's A Beautiful Day (Reprise)	Made In Heaven	32	0.393	0.608	-10.129	0.043	0.0691	0.0127	0.612	0.0516	127.929	180453
34MoKBRdC9JDjcL4b4X1Ic	It's A Hard Life	The Works	57	0.42	0.599	-6.188	0.0291	0.422	0	0.159	0.299	82.336	246973
7pgv0D1HCBAFbGHNqHmegV	It's Late	News Of The World	36	0.293	0.691	-5.245	0.0575	0.19	4e-6	0.0899	0.513	182.256	386360
6VH7sh6fC6YPi297UC2Fkg	Jealousy	Jazz	47	0.574	0.478	-9.842	0.031	0.211	0	0.243	0.211	80.8	193147
